id,created_at,updated_at,name,short_name,stock_ticker,description,cik,gics_sector,gics_sub_industry,headquarters_location,founded_year
264,2021-06-18 12:12:46,2021-06-18 12:12:46,Johnson & Johnson,Johnson & Johnson,JNJ,,0000200406,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1886
265,2021-06-18 12:12:46,2021-06-18 12:12:46,Johnson Controls International,Johnson Controls International,JCI,,0000833444,Industrials,Building Products,"Cork, Ireland",1885
267,2021-06-18 12:12:46,2021-06-18 12:12:46,Juniper Networks,Juniper Networks,JNPR,,0001043604,Information Technology,Communications Equipment,"Sunnyvale, California",1996
275,2021-06-18 12:12:46,2021-06-18 12:12:46,KLA Corporation,KLA Corporation,KLAC,,0000319201,Information Technology,Semiconductor Equipment,"Milpitas, California",1975/1977 (1997)
268,2021-06-18 12:12:46,2021-06-18 12:12:46,Kansas City Southern,Kansas City Southern,KSU,,0000054480,Industrials,Railroads,"Kansas City, Missouri",1887
269,2021-06-18 12:12:46,2021-06-18 12:12:46,Kellogg Co.,Kellogg Co.,K,,0000055067,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1906
270,2021-06-18 12:12:46,2021-06-18 12:12:46,KeyCorp,KeyCorp,KEY,,0000091576,Financials,Regional Banks,"Cleveland, Ohio",1825
271,2021-06-18 12:12:46,2021-06-18 12:12:46,Keysight Technologies,Keysight Technologies,KEYS,,0001601046,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2014
272,2021-06-18 12:12:46,2021-06-18 12:12:46,Kimberly-Clark,Kimberly-Clark,KMB,,0000055785,Consumer Staples,Household Products,"Irving, Texas",1872
273,2021-06-18 12:12:46,2021-06-18 12:12:46,Kimco Realty,Kimco Realty,KIM,,0000879101,Real Estate,Retail REITs,"New Hyde Park, New York",1958
274,2021-06-18 12:12:46,2021-06-18 12:12:46,Kinder Morgan,Kinder Morgan,KMI,,0001506307,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1997
276,2021-06-18 12:12:46,2021-06-18 12:12:46,Kraft Heinz Co,Kraft Heinz Co,KHC,,0001637459,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015 (1869)
277,2021-06-18 12:12:46,2021-06-18 12:12:46,Kroger Co.,Kroger Co.,KR,,0000056873,Consumer Staples,Food Retail,"Cincinnati, Ohio",1883
278,2021-06-18 12:12:46,2021-06-18 12:12:46,L Brands Inc.,L Brands Inc.,LB,,0000701985,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",1963
279,2021-06-18 12:12:46,2021-06-18 12:12:46,L3Harris Technologies,L3Harris Technologies,LHX,,0000202058,Industrials,Aerospace & Defense,"Melbourne, Florida",2019 (1895)
291,2021-06-18 12:12:46,2021-06-18 12:12:46,LKQ Corporation,LKQ Corporation,LKQ,,0001065696,Consumer Discretionary,Distributors,"Chicago, Illinois",1998
280,2021-06-18 12:12:46,2021-06-18 12:12:46,Laboratory Corp. of America Holding,Laboratory Corp. of America Holding,LH,,0000920148,Health Care,Health Care Services,"Burlington, North Carolina",1978
281,2021-06-18 12:12:46,2021-06-18 12:12:46,Lam Research,Lam Research,LRCX,,0000707549,Information Technology,Semiconductor Equipment,"Fremont, California",1980
282,2021-06-18 12:12:46,2021-06-18 12:12:46,Lamb Weston Holdings Inc,Lamb Weston Holdings Inc,LW,,0001679273,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2016 (1950)
